Method,Seed,Initial Set Size,Initial Test R2,Budget,Labeled Set Size,Test R2,Cost Function,Total Cost
random,789,429,0.012400459637913253,170,429,0.012400459637913253,pointwise_by_region,429.0
random,1,429,0.012400459637913253,170,429,0.012400459637913253,pointwise_by_region,429.0
random,42,429,0.012400459637913253,170,429,0.012400459637913253,pointwise_by_region,429.0
random,456,429,0.012400459637913253,170,429,0.012400459637913253,pointwise_by_region,429.0
random,123,429,0.012400459637913253,170,429,0.012400459637913253,pointwise_by_region,429.0
random,789,429,0.012400459637913253,180,429,0.012400459637913253,pointwise_by_region,429.0
random,1,429,0.012400459637913253,180,429,0.012400459637913253,pointwise_by_region,429.0
random,42,429,0.012400459637913253,180,429,0.012400459637913253,pointwise_by_region,429.0
random,456,429,0.012400459637913253,180,429,0.012400459637913253,pointwise_by_region,429.0
random,123,429,0.012400459637913253,180,429,0.012400459637913253,pointwise_by_region,429.0
random,789,429,0.012400459637913253,190,429,0.012400459637913253,pointwise_by_region,429.0
random,1,429,0.012400459637913253,190,429,0.012400459637913253,pointwise_by_region,429.0
random,42,429,0.012400459637913253,190,429,0.012400459637913253,pointwise_by_region,429.0
random,456,429,0.012400459637913253,190,429,0.012400459637913253,pointwise_by_region,429.0
random,123,429,0.012400459637913253,190,429,0.012400459637913253,pointwise_by_region,429.0
random,789,429,0.012400459637913253,200,429,0.012400459637913253,pointwise_by_region,429.0
random,1,429,0.012400459637913253,200,429,0.012400459637913253,pointwise_by_region,429.0
random,42,429,0.012400459637913253,200,429,0.012400459637913253,pointwise_by_region,429.0
random,456,429,0.012400459637913253,200,429,0.012400459637913253,pointwise_by_region,429.0
random,123,429,0.012400459637913253,200,429,0.012400459637913253,pointwise_by_region,429.0
