Method,Seed,Initial Set Size,Initial Test R2,Budget,Test R2
typiclust,42,362,-0.10732700448487176,60,0.12900557820398306
typiclust,456,362,-0.10732700448487176,60,0.24036222858802003
typiclust,123,362,-0.10732700448487176,60,0.21804593901388747
typiclust,789,362,-0.10732700448487176,70,0.2409285836873032
typiclust,1,362,-0.10732700448487176,70,0.22533556344067818
typiclust,42,362,-0.10732700448487176,70,0.21243803737946787
typiclust,456,362,-0.10732700448487176,70,0.25075720193683815
typiclust,123,362,-0.10732700448487176,70,0.264582425299392
typiclust,789,362,-0.10732700448487176,80,0.25429523710462787
typiclust,1,362,-0.10732700448487176,80,0.3001804889502665
typiclust,42,362,-0.10732700448487176,80,0.2893460313049442
typiclust,456,362,-0.10732700448487176,80,0.27801540120057455
typiclust,123,362,-0.10732700448487176,80,0.2548723234741772
typiclust,789,362,-0.10732700448487176,90,0.26876136016581886
typiclust,1,362,-0.10732700448487176,90,0.30265773819322594
typiclust,42,362,-0.10732700448487176,90,0.2787225486325263
typiclust,456,362,-0.10732700448487176,90,0.3117478307164352
typiclust,123,362,-0.10732700448487176,90,0.28105650599554366
typiclust,789,362,-0.10732700448487176,100,0.27659259660760327
typiclust,1,362,-0.10732700448487176,100,0.3438960579257885
typiclust,42,362,-0.10732700448487176,100,0.2691802723094633
typiclust,456,362,-0.10732700448487176,100,0.32552645240457856
typiclust,123,362,-0.10732700448487176,100,0.2984415341064355
typiclust,789,362,-0.10732700448487176,1000,0.5801767739130665
typiclust,1,362,-0.10732700448487176,1000,0.5817739600161316
typiclust,42,362,-0.10732700448487176,1000,0.5594812680110495
typiclust,456,362,-0.10732700448487176,1000,0.5554891078755566
typiclust,123,362,-0.10732700448487176,1000,0.570640342136045
