Dataset,Label,Initial Set Description,Method,Budget,Seed,Initial Set Size,Initial Test R2,Labeled Set Size,Test R2
USAVARS,POP,IDs_1500_centers_10000m_radius_seed_42,random,1000,42,5170,0.6702476590858399,6170,0.6786276989747688
USAVARS,POP,IDs_1500_centers_10000m_radius_seed_42,random,1000,456,5170,0.6702476590858399,6170,0.6805241327301883
USAVARS,POP,IDs_1500_centers_10000m_radius_seed_42,random,1000,789,5170,0.6702476590858399,6170,0.6794302484161152
USAVARS,POP,IDs_1500_centers_10000m_radius_seed_42,typiclust,1000,42,5170,0.6702476590858399,6170,0.6783817567525534
USAVARS,POP,IDs_1500_centers_10000m_radius_seed_42,typiclust,1000,1,5170,0.6702476590858399,6170,0.6773146246039663
USAVARS,POP,IDs_500_centers_20000m_radius_seed_42,inversetypiclust,100,1,5488,0.6539498059686957,5588,0.6586460572475816
USAVARS,POP,IDs_500_centers_20000m_radius_seed_42,inversetypiclust,100,42,5488,0.6539498059686957,5588,0.6568101948001155
USAVARS,POP,IDs_500_centers_20000m_radius_seed_42,inversetypiclust,100,123,5488,0.6539498059686957,5588,0.6566024647010771
USAVARS,POP,IDs_500_centers_20000m_radius_seed_42,inversetypiclust,100,456,5488,0.6539498059686957,5588,0.6581843370195846
USAVARS,POP,IDs_500_centers_20000m_radius_seed_42,inversetypiclust,100,789,5488,0.6539498059686957,5588,0.6581255538343959
USAVARS,POP,IDs_500_centers_20000m_radius_seed_42,random,100,1,5488,0.6539498059686957,5588,0.657726266776439
USAVARS,POP,IDs_500_centers_20000m_radius_seed_42,random,100,123,5488,0.6539498059686957,5588,0.6557159538592863
USAVARS,POP,IDs_500_centers_20000m_radius_seed_42,random,100,456,5488,0.6539498059686957,5588,0.6574338175535053
USAVARS,POP,IDs_500_centers_20000m_radius_seed_42,random,100,42,5488,0.6539498059686957,5588,0.6557153668417828
USAVARS,POP,IDs_500_centers_20000m_radius_seed_42,random,100,789,5488,0.6539498059686957,5588,0.6557891477826996
USAVARS,POP,IDs_500_centers_20000m_radius_seed_42,typiclust,100,42,5488,0.6539498059686957,5588,0.6563455933906388
USAVARS,POP,IDs_500_centers_20000m_radius_seed_42,typiclust,100,456,5488,0.6539498059686957,5588,0.6571560290001821
USAVARS,POP,IDs_500_centers_20000m_radius_seed_42,typiclust,100,123,5488,0.6539498059686957,5588,0.6571281828565119
USAVARS,POP,IDs_500_centers_20000m_radius_seed_42,typiclust,100,789,5488,0.6539498059686957,5588,0.6555604826032124
USAVARS,POP,IDs_500_centers_20000m_radius_seed_42,typiclust,100,1,5488,0.6539498059686957,5588,0.654263476751866
USAVARS,POP,IDs_500_centers_20000m_radius_seed_42,random,1000,42,5488,0.6539498059686957,6488,0.6704135347167022
